Navn,Fodselar,Postnummer,Postaddressen,Epost,Fodselsnummer,Inntekt,Formue
"Booker, Vernon E.",1934,69207,Ap #618-9302 Morbi Av.,ante@semperNam.net,C79D1004-A72D-1817-20B2-D0F69E787953,"11,889Kr","83,697Kr"
"Collier, Tashya Y.",1995,14666,"P.O. Box 598, 1908 In Ave",magna@luctussitamet.org,F6D8551C-F600-5125-3AFD-47860BB9A20A,"43,286Kr","1,936Kr"
"Hines, Blythe N.",1922,27177,3810 Auctor. St.,Aliquam.vulputate@Mauris.co.uk,4E8BE468-F899-27C1-B0DE-CA1D874A7B9B,"41,214Kr","4,991Kr"
"Jordan, Kevin G.",1936,80335,"P.O. Box 669, 6523 Integer Rd.",sit.amet.ultricies@malesuadavel.org,2B4A2849-4D5D-FC55-96AF-F88022CDB64D,"90,169Kr","09,171Kr"
"Ayers, Sarah O.",1908,78362,5651 In Rd.,est.ac.facilisis@nequevenenatislacus.ca,E31E64A3-F18D-2146-2148-B8B584413FB1,"33,045Kr","68,810Kr"
"Tate, Kiayada L.",1913,78173,323-3943 Feugiat Avenue,eget.volutpat@Aliquamultricesiaculis.edu,3C5B1AD4-A96C-6658-12AE-89DED482F932,"72,672Kr","07,008Kr"
"Landry, Kylie I.",1920,77831,Ap #112-2538 Penatibus Ave,mauris.sit@magnaDuisdignissim.net,86A5B28A-CBC2-4B97-755C-6F7FFB93A2E2,"43,436Kr","27,377Kr"
"Hernandez, Wynne J.",1969,09487,281-5918 Bibendum St.,natoque.penatibus.et@metusAeneansed.co.uk,E2EED817-B095-92A4-39C0-561C9AB19508,"79,924Kr","50,048Kr"
"Finley, Ina S.",1947,58254,Ap #254-3741 Sed St.,facilisis.lorem.tristique@magna.edu,8DE18A32-03A8-31DB-9AE1-262B9875A473,"52,725Kr","67,739Kr"
"Baxter, Janna O.",1907,48075,Ap #506-6409 Dictum Avenue,massa@iaculisenim.com,F7F907FB-B7EE-E29F-A706-FA591FC37177,"49,222Kr","96,845Kr"
"Alvarado, Shad K.",1989,02641,241-2904 Enim Street,facilisis.facilisis.magna@rutrum.ca,FA20AE32-FB98-2A11-A5C1-757C8BB201BF,"83,514Kr","46,749Kr"
"Griffith, Chaney Z.",1972,25791,3361 Lobortis. St.,varius@egetmetus.ca,17FDFB91-BADB-6ACC-6052-F7623C6A6838,"87,637Kr","38,504Kr"
"Pruitt, Heather Z.",1985,90669,Ap #212-8523 Vivamus St.,lorem@sem.edu,994D5B7C-3B43-DA2C-9463-3C4CE1C04F2E,"79,037Kr","64,182Kr"
"Macias, Nero C.",1907,27290,Ap #701-5529 Rutrum Av.,ipsum@maurisSuspendissealiquet.edu,BBE9DBA2-BC05-2C43-008F-10BBB4FA37CF,"15,303Kr","73,185Kr"
"Roman, Tana G.",1941,12192,"P.O. Box 798, 3423 Nibh St.",Sed@Aeneanegetmetus.co.uk,EDA92A35-1055-BD62-0A4F-FC1186354443,"27,206Kr","32,461Kr"
"Rose, Ariel X.",1949,06609,"4122 Vitae, Ave",egestas.blandit.Nam@libero.co.uk,0EF2765D-AA1D-CFA0-8AA2-B9176854981A,"06,143Kr","73,740Kr"
"Olsen, Price L.",1942,17178,6455 Euismod Rd.,volutpat.Nulla@in.ca,0CA732D7-C597-CA3B-1673-252A3D392712,"02,510Kr","01,503Kr"
"Cole, Jocelyn F.",1990,59784,"P.O. Box 480, 3587 At Rd.",Quisque@Phasellusdolorelit.co.uk,29A66EF9-51C9-D70C-FE7D-6A791DCEA3DC,"93,184Kr","57,312Kr"
"Warren, Kameko K.",1934,17625,2823 Id St.,lobortis.quis.pede@montes.net,A03310FF-B2D8-F5B3-BD06-09A18EF8144C,"33,262Kr","81,708Kr"
"Copeland, Shelby X.",1953,93212,Ap #497-3350 Tempus St.,egestas@iaculisquis.org,E47726F4-B40F-CF55-EB90-F528C7C0D76B,"18,496Kr","92,469Kr"
"Rivera, Marsden T.",1925,12942,372-5440 Lacus. St.,lobortis@Sed.edu,7593D54A-DA68-896C-CAC3-EB62FF501818,"53,556Kr","92,940Kr"
"Clark, Judith P.",1901,03877,"819-789 Quis, Street",nunc@eratvolutpatNulla.com,8C78CC8D-4A63-42E4-351F-174745AB200A,"56,058Kr","96,826Kr"
"Suarez, Alika A.",1925,74538,"P.O. Box 711, 9199 Vitae Rd.",laoreet@Pellentesque.edu,889DD380-39A1-1DA5-92EE-FB8057558970,"30,807Kr","99,412Kr"
"Mcgee, Venus P.",1923,40406,Ap #297-4873 Blandit St.,dignissim@quamelementum.org,19671BD9-54A8-5889-F810-391CD9D20E81,"18,707Kr","53,314Kr"
"Roberts, Brenna D.",1964,41078,158-6306 Luctus. St.,facilisis.facilisis@felisullamcorperviverra.net,47921751-5D3D-CC77-3A8F-700D1A3B598A,"37,031Kr","80,630Kr"
"Fry, Emmanuel V.",1954,12994,324-2308 A Ave,mollis.lectus@duiFuscealiquam.org,C73E2797-0211-4E4D-F8CF-F8B3CEBBA316,"39,539Kr","67,689Kr"
